release_year,year_added,month_added,duration_num,director_count,cast_count,country_count,content_age,is_multicountry,is_long_content,main_genre,rating,type
2020,2020,8,4.0,1,11,1,6,0,0,16,8,1
2016,2016,12,93.0,1,6,1,10,0,0,12,8,0
2011,2018,12,78.0,1,9,1,15,0,0,13,5,0
2009,2017,11,80.0,1,9,1,17,0,0,0,4,0
2008,2020,1,123.0,1,12,1,18,0,1,12,4,0
2016,2017,7,1.0,1,10,1,10,0,0,16,8,1
2019,2020,6,95.0,1,8,1,7,0,0,13,8,0
1997,2019,11,119.0,1,5,1,29,0,0,12,5,0
2019,2019,4,118.0,1,9,1,7,0,0,13,6,0
2008,2017,12,143.0,1,8,1,18,0,1,13,8,0
2017,2017,10,103.0,1,7,1,9,0,0,12,8,0
2018,2018,11,1.0,1,12,2,8,1,0,8,8,1
2019,2019,5,1.0,1,1,1,7,0,0,8,8,1
2018,2019,3,89.0,1,1,1,8,0,0,10,8,0
2019,2020,3,91.0,1,7,1,7,0,0,14,5,0
2014,2019,9,149.0,1,13,1,12,0,1,12,6,0
2018,2019,3,1.0,1,10,1,8,0,0,16,6,1
2018,2018,10,144.0,1,7,3,8,1,1,12,5,0
2019,2019,3,124.0,1,8,1,7,0,1,7,6,0
2017,2018,5,87.0,1,3,1,9,0,0,26,9,0
2018,2018,9,110.0,1,8,1,8,0,0,12,6,0
2018,2018,9,128.0,1,8,1,8,0,1,0,6,0
2017,2018,9,117.0,1,8,1,9,0,0,12,6,0
2017,2018,9,100.0,1,6,1,9,0,0,12,6,0
2020,2020,1,2.0,1,12,1,6,0,0,2,6,1
2015,2016,6,84.0,2,1,1,11,0,0,10,2,0
2020,2020,8,1.0,1,1,1,6,0,0,21,8,1
2020,2020,9,99.0,1,2,1,6,0,0,13,8,0
2019,2020,7,95.0,2,2,1,7,0,0,10,6,0
2020,2020,4,1.0,1,7,1,6,0,0,30,8,1
2020,2020,2,90.0,1,1,1,6,0,0,10,6,0
2018,2020,5,102.0,1,8,1,8,0,0,12,7,0
2020,2020,6,104.0,1,8,1,6,0,0,12,7,0
2017,2017,9,99.0,1,12,1,9,0,0,7,6,0
2018,2019,4,105.0,1,8,1,8,0,0,7,6,0
2016,2016,12,56.0,1,1,1,10,0,0,10,9,0
2014,2019,6,125.0,1,8,1,12,0,1,7,8,0
2016,2019,6,119.0,1,10,1,10,0,0,7,8,0
2016,2019,3,1.0,1,4,1,10,0,0,16,6,1
2019,2019,7,81.0,1,9,1,7,0,0,7,8,0
2015,2017,3,97.0,1,10,1,11,0,0,7,6,0
2017,2018,3,106.0,1,10,1,9,0,0,13,8,0
2010,2017,3,99.0,1,15,1,16,0,0,7,8,0
2020,2020,10,107.0,1,15,1,6,0,0,12,8,0
2005,2018,2,93.0,1,11,1,21,0,0,0,4,0
2013,2017,1,1.0,1,10,1,13,0,0,8,8,1
2014,2017,7,89.0,1,9,1,12,0,0,12,9,0
2017,2017,7,105.0,1,8,1,9,0,0,12,6,0
2017,2019,10,87.0,1,10,2,9,1,0,7,6,0
2012,2017,7,97.0,1,6,1,14,0,0,7,6,0
2008,2019,6,109.0,1,9,2,18,1,0,0,4,0
2018,2020,12,1.0,1,6,1,8,0,0,16,6,1
2018,2018,7,93.0,1,1,1,8,0,0,10,8,0
2020,2020,3,1.0,1,3,1,6,0,0,11,6,1
2016,2017,3,109.0,1,10,2,10,1,0,12,8,0
2014,2019,11,44.0,1,7,1,12,0,0,19,10,0
2016,2018,3,75.0,1,1,1,10,0,0,10,6,0
2020,2021,1,101.0,1,6,1,6,0,0,12,6,0
2017,2019,11,1.0,1,4,1,9,0,0,3,6,1
2014,2016,12,89.0,1,6,1,12,0,0,12,6,0
2017,2019,3,90.0,1,9,1,9,0,0,12,8,0
2014,2017,5,1.0,1,6,1,12,0,0,16,6,1
2015,2016,8,90.0,1,6,1,11,0,0,13,2,0
2020,2020,6,4.0,1,13,1,6,0,0,8,8,1
2019,2019,8,3.0,1,28,1,7,0,0,8,8,1
2014,2019,1,93.0,1,6,1,12,0,0,13,5,0
2016,2016,10,101.0,1,1,1,10,0,0,10,8,0
2017,2017,1,37.0,1,2,1,9,0,0,19,8,0
2010,2019,4,113.0,1,12,3,16,1,0,0,5,0
2018,2018,10,89.0,2,8,1,8,0,0,13,8,0
2016,2019,2,84.0,4,1,1,10,0,0,10,8,0
2006,2019,11,102.0,1,10,2,20,1,0,0,4,0
2009,2021,1,102.0,1,10,1,17,0,0,7,4,0
2020,2020,5,114.0,1,9,1,6,0,0,12,8,0
2016,2017,6,130.0,1,10,1,10,0,1,12,5,0
2019,2020,8,90.0,1,8,1,7,0,0,13,8,0
2018,2019,7,94.0,1,5,1,8,0,0,13,8,0
2008,2020,6,97.0,2,8,1,18,0,0,7,8,0
2014,2018,8,143.0,1,6,1,12,0,1,7,9,0
2013,2018,9,91.0,1,14,1,13,0,0,10,4,0
2013,2017,8,1.0,1,8,1,13,0,0,8,8,1
2015,2017,4,107.0,1,16,1,11,0,0,15,9,0
2018,2018,12,95.0,1,6,1,8,0,0,24,6,0
2016,2019,6,119.0,1,5,1,10,0,0,12,5,0
2013,2019,4,93.0,2,11,1,13,0,0,7,5,0
2019,2020,7,1.0,1,1,1,7,0,0,3,8,1
2018,2018,12,1.0,1,3,1,8,0,0,16,6,1
2017,2018,3,1.0,1,13,1,9,0,0,8,8,1
2016,2018,3,101.0,1,11,1,10,0,0,0,8,0
2017,2018,4,93.0,1,7,3,9,1,0,0,5,0
2016,2018,10,140.0,1,8,1,10,0,1,0,6,0
2012,2017,10,135.0,1,10,1,14,0,1,12,8,0
2018,2018,5,82.0,1,8,1,8,0,0,0,8,0
2017,2018,5,70.0,1,5,1,9,0,0,10,8,0
2000,2020,9,104.0,1,11,1,26,0,0,7,4,0
2016,2017,6,1.0,1,4,1,10,0,0,16,9,1
2014,2020,12,117.0,1,10,3,12,1,0,0,4,0
2003,2019,12,121.0,1,7,1,23,0,1,12,8,0
2015,2017,8,92.0,1,9,1,11,0,0,12,4,0
2016,2019,1,124.0,1,4,1,10,0,1,12,9,0
2009,2019,8,164.0,1,8,1,17,0,1,7,4,0
2018,2019,6,53.0,1,1,1,8,0,0,10,9,0
2015,2016,12,93.0,1,10,1,11,0,0,7,8,0
2016,2019,4,91.0,1,9,1,10,0,0,7,6,0
2011,2021,1,83.0,1,8,1,15,0,0,0,5,0
1989,2019,10,93.0,1,10,3,37,1,0,12,6,0
2020,2020,6,114.0,2,10,1,6,0,0,12,8,0
2020,2020,1,116.0,1,12,1,6,0,0,12,8,0
2019,2019,7,2.0,1,15,1,7,0,0,17,11,1
2019,2020,11,93.0,1,7,1,7,0,0,15,6,0
2017,2018,2,81.0,1,1,1,9,0,0,10,8,0
2018,2020,10,2.0,1,7,1,8,0,0,17,11,1
2019,2019,8,1.0,1,12,1,7,0,0,16,8,1
2017,2017,12,84.0,2,9,1,9,0,0,4,7,0
2019,2019,7,105.0,1,8,1,7,0,0,7,8,0
2015,2016,5,86.0,1,10,1,11,0,0,7,2,0
2019,2020,6,120.0,1,8,1,7,0,0,12,8,0
2017,2019,1,106.0,1,9,1,9,0,0,0,8,0
2014,2019,3,92.0,1,9,1,12,0,0,7,4,0
2018,2018,12,96.0,1,7,1,8,0,0,7,6,0
2014,2017,3,97.0,1,6,1,12,0,0,7,5,0
2004,2020,12,99.0,1,10,1,22,0,0,7,4,0
2011,2019,6,100.0,1,11,1,15,0,0,7,5,0
2012,2018,9,126.0,1,8,1,14,0,1,12,6,0
2019,2020,4,96.0,1,8,1,7,0,0,7,6,0
2018,2018,4,75.0,1,9,1,8,0,0,12,8,0
2017,2018,2,94.0,1,12,2,9,1,0,0,5,0
2019,2019,12,129.0,1,11,1,7,0,1,0,5,0
2015,2015,9,80.0,1,9,1,11,0,0,12,8,0
2014,2017,11,103.0,1,7,1,12,0,0,13,8,0
2019,2020,11,1.0,1,1,1,7,0,0,21,8,1
2017,2019,9,96.0,1,13,1,9,0,0,7,5,0
2019,2019,7,1.0,1,8,1,7,0,0,34,6,1
2016,2016,10,77.0,1,5,1,10,0,0,12,8,0
2018,2018,12,1.0,1,1,1,8,0,0,11,9,1
2018,2019,5,137.0,2,10,1,8,0,1,7,9,0
2011,2018,8,148.0,1,10,1,15,0,1,12,8,0
2016,2016,6,1.0,1,1,1,10,0,0,11,9,1
2018,2018,8,1.0,1,1,1,8,0,0,11,6,1
2017,2017,12,1.0,1,1,2,9,1,0,11,6,1
2016,2016,6,1.0,1,1,1,10,0,0,11,9,1
2020,2020,3,2.0,1,38,1,6,0,0,2,8,1
2016,2017,3,1.0,1,1,1,10,0,0,3,9,1
2019,2019,8,123.0,1,8,1,7,0,1,7,8,0
2016,2020,3,121.0,1,12,1,10,0,1,12,9,0
2011,2017,7,95.0,1,10,1,15,0,0,4,3,0
2019,2019,10,28.0,1,1,2,7,1,0,10,9,0
2020,2020,10,99.0,1,10,1,6,0,0,4,9,0
2017,2020,2,104.0,2,9,2,9,1,0,7,5,0
2011,2018,12,122.0,1,9,2,15,1,1,12,6,0
2016,2018,4,104.0,1,3,1,10,0,0,12,6,0
2016,2018,1,94.0,1,9,1,10,0,0,12,3,0
2017,2017,9,1.0,1,7,1,9,0,0,16,8,1
1977,2020,7,176.0,1,14,2,49,1,1,0,3,0
2020,2020,12,107.0,1,9,1,6,0,0,7,4,0
2018,2020,4,90.0,1,6,1,8,0,0,4,0,0
2016,2020,10,94.0,1,10,1,10,0,0,7,6,0
2020,2020,10,101.0,2,7,1,6,0,0,0,6,0
2018,2020,11,87.0,1,8,1,8,0,0,12,7,0
2017,2017,11,92.0,1,4,1,9,0,0,4,9,0
2019,2019,12,85.0,1,15,1,7,0,0,4,9,0
2018,2018,11,93.0,1,14,1,8,0,0,4,9,0
2016,2016,12,22.0,1,11,3,10,1,0,19,11,0
2004,2020,1,95.0,1,15,2,22,1,0,4,3,0
2019,2019,12,86.0,1,8,1,7,0,0,4,3,0
1971,2020,11,137.0,1,8,2,55,1,1,6,5,0
1993,2018,4,101.0,1,9,1,33,0,0,12,5,0
2014,2019,11,68.0,1,9,1,12,0,0,4,11,0
2020,2020,1,121.0,1,7,1,6,0,1,12,8,0
2015,2016,10,111.0,1,1,3,11,1,0,10,9,0
2016,2019,12,110.0,1,8,2,10,1,0,12,5,0
2019,2019,12,29.0,1,9,1,7,0,0,19,9,0
2016,2017,11,142.0,1,8,1,10,0,1,0,6,0
2018,2019,4,168.0,1,11,1,8,0,1,12,8,0
2018,2018,1,102.0,1,15,1,8,0,0,7,8,0
2017,2020,1,92.0,1,6,1,9,0,0,12,5,0
2012,2018,7,86.0,1,8,1,14,0,0,7,5,0
2020,2020,11,22.0,2,10,1,6,0,0,4,10,0
2020,2020,10,22.0,2,10,1,6,0,0,4,10,0
2020,2020,8,21.0,2,11,1,6,0,0,4,10,0
2013,2017,1,1.0,1,7,1,13,0,0,16,6,1
2015,2016,11,59.0,1,1,1,11,0,0,10,9,0
2017,2017,12,93.0,1,1,1,9,0,0,10,8,0
2013,2020,2,86.0,1,10,1,13,0,0,7,5,0
2019,2019,9,80.0,1,9,1,7,0,0,13,6,0
2015,2017,2,109.0,1,8,1,11,0,0,12,8,0
2011,2019,11,92.0,1,10,1,15,0,0,4,7,0
2019,2019,4,92.0,1,9,1,7,0,0,7,8,0
2017,2017,9,1.0,1,8,1,9,0,0,16,9,1
2019,2020,7,89.0,2,1,2,7,1,0,10,8,0
2016,2017,5,96.0,1,8,1,10,0,0,35,5,0
2017,2019,3,1.0,1,6,1,9,0,0,16,8,1
2019,2019,4,95.0,1,5,3,7,1,0,12,8,0
2018,2018,8,87.0,1,1,1,8,0,0,10,8,0
2020,2020,3,93.0,1,1,1,6,0,0,10,6,0
2006,2020,11,1.0,2,1,1,20,0,0,34,6,1
2014,2019,4,113.0,1,11,1,12,0,0,12,5,0
2018,2018,5,1.0,1,13,1,8,0,0,28,7,1
2019,2019,10,1.0,1,5,1,7,0,0,16,7,1
2020,2020,12,1.0,1,10,1,6,0,0,16,9,1
2020,2020,9,20.0,1,1,1,6,0,0,10,9,0
2007,2019,3,117.0,1,10,1,19,0,0,12,6,0
2010,2019,3,1.0,1,7,1,16,0,0,8,6,1
2016,2016,10,97.0,1,11,1,10,0,0,7,8,0
2012,2019,4,98.0,1,9,1,14,0,0,7,8,0
2016,2021,1,108.0,1,11,3,10,1,0,12,4,0
2014,2018,7,125.0,1,9,2,12,1,1,12,5,0
2014,2017,4,91.0,2,1,1,12,0,0,10,4,0
2017,2018,6,76.0,1,1,1,9,0,0,10,6,0
2020,2020,11,90.0,1,13,1,6,0,0,12,8,0
1998,2019,12,82.0,1,10,1,28,0,0,7,4,0
2015,2016,9,111.0,1,7,1,11,0,0,12,8,0
2015,2017,4,92.0,1,6,1,11,0,0,12,8,0
2020,2020,9,1.0,1,1,1,6,0,0,8,6,1
2012,2019,1,110.0,1,11,1,14,0,0,12,8,0
2013,2019,6,94.0,1,8,1,13,0,0,12,5,0
2016,2019,10,100.0,1,1,2,10,1,0,10,6,0
2011,2020,8,91.0,1,7,1,15,0,0,4,9,0
2020,2020,11,1.0,1,2,1,6,0,0,16,6,1
2019,2019,11,94.0,1,12,1,7,0,0,7,8,0
2011,2013,11,44.0,1,8,1,15,0,0,27,2,0
2016,2017,10,108.0,1,8,1,10,0,0,15,8,0
2015,2019,2,130.0,1,12,1,11,0,1,12,8,0
2020,2020,4,83.0,1,1,1,6,0,0,10,6,0
2011,2019,3,123.0,1,11,2,15,1,1,12,4,0
2019,2019,1,3.0,1,7,1,7,0,0,17,9,1
2009,2018,1,106.0,2,12,3,17,1,0,7,5,0
2020,2020,2,87.0,2,5,5,6,1,0,4,0,0
2016,2019,6,130.0,1,9,1,10,0,1,1,6,0
2009,2019,11,100.0,1,10,1,17,0,0,12,5,0
2017,2018,4,96.0,1,5,6,9,1,0,12,6,0
2015,2017,8,89.0,1,7,1,11,0,0,12,9,0
1988,2011,10,95.0,1,12,1,38,0,0,12,6,0
2017,2017,12,26.0,2,9,1,9,0,0,4,10,0
2019,2020,1,156.0,1,8,1,7,0,1,12,8,0
2018,2019,1,1.0,1,4,1,8,0,0,16,8,1
2015,2019,10,98.0,1,10,2,11,1,0,12,4,0
2019,2019,5,30.0,1,1,2,7,1,0,10,9,0
1996,2020,12,108.0,1,16,1,30,0,0,7,5,0
2019,2019,6,1.0,1,6,1,7,0,0,16,6,1
2012,2020,7,92.0,1,8,1,14,0,0,7,4,0
2016,2020,7,1.0,1,8,1,10,0,0,16,8,1
2020,2020,12,28.0,1,6,1,6,0,0,4,10,0
2016,2019,12,99.0,1,10,1,10,0,0,7,8,0
2020,2020,3,85.0,1,5,1,6,0,0,4,11,0
2018,2018,12,122.0,1,10,3,8,1,1,12,8,0
2017,2020,11,84.0,1,5,2,9,1,0,20,7,0
2015,2015,12,57.0,1,12,1,11,0,0,7,6,0
2018,2018,7,2.0,1,11,1,8,0,0,16,8,1
2008,2020,11,107.0,1,11,1,18,0,0,15,7,0
2002,2020,7,102.0,1,7,1,24,0,0,12,3,0
2008,2018,11,103.0,1,8,1,18,0,0,0,8,0
2017,2018,2,91.0,1,1,1,9,0,0,10,6,0
2020,2020,6,104.0,2,9,1,6,0,0,1,9,0
2017,2018,10,91.0,1,9,1,9,0,0,4,3,0
2018,2018,9,110.0,1,15,1,8,0,0,4,3,0
2015,2019,11,1.0,1,1,1,11,0,0,11,9,1
2016,2017,5,111.0,1,6,2,10,1,0,12,8,0
2015,2017,12,1.0,1,17,1,11,0,0,31,6,1
2018,2018,3,1.0,1,11,1,8,0,0,2,6,1
2019,2020,10,77.0,1,10,1,7,0,0,13,8,0
2018,2019,3,99.0,1,12,1,8,0,0,0,3,0
2011,2018,4,122.0,1,8,1,15,0,1,12,8,0
2017,2018,5,150.0,1,9,1,9,0,1,7,8,0
2009,2018,11,117.0,1,6,1,17,0,0,7,6,0
2013,2018,1,126.0,1,8,1,13,0,1,7,9,0
1988,2017,9,148.0,1,8,1,38,0,1,0,6,0
2018,2018,11,122.0,1,8,1,8,0,1,12,9,0
2008,2018,11,95.0,1,6,1,18,0,0,15,6,0
2018,2020,9,133.0,1,5,1,8,0,1,12,6,0
2011,2019,12,164.0,1,10,1,15,0,1,12,6,0
2010,2017,10,115.0,1,11,1,16,0,0,12,6,0
1993,2017,6,154.0,1,6,1,33,0,1,12,6,0
2010,2018,1,133.0,1,4,1,16,0,1,7,6,0
2019,2019,12,110.0,1,6,1,7,0,0,13,6,0
2019,2020,7,1.0,1,7,2,7,1,0,17,10,1
2015,2017,5,127.0,1,13,1,11,0,1,7,9,0
2015,2018,11,146.0,1,8,1,11,0,1,12,6,0
2013,2018,11,136.0,1,8,1,13,0,1,12,6,0
2012,2019,4,100.0,1,1,1,14,0,0,0,8,0
2017,2019,1,90.0,1,1,1,9,0,0,10,6,0
2016,2019,1,88.0,1,8,1,10,0,0,12,6,0
2016,2018,5,131.0,1,8,1,10,0,1,7,6,0
2012,2016,2,44.0,1,8,1,14,0,0,4,11,0
2002,2019,2,101.0,2,9,4,24,1,0,7,4,0
2013,2019,4,123.0,1,10,1,13,0,1,7,5,0
2019,2019,9,2.0,1,8,1,7,0,0,11,6,1
2020,2020,4,1.0,1,1,1,6,0,0,11,9,1
2019,2019,5,1.0,1,9,1,7,0,0,8,6,1
2015,2016,8,90.0,1,8,1,11,0,0,12,8,0
2016,2017,6,89.0,1,6,1,10,0,0,7,8,0
2009,2018,12,87.0,1,7,1,17,0,0,15,8,0
2018,2018,10,1.0,1,6,1,8,0,0,16,6,1
2013,2016,12,24.0,1,6,1,13,0,0,12,9,0
2015,2019,4,88.0,1,11,1,11,0,0,12,8,0
2007,2019,1,133.0,1,8,2,19,1,1,12,4,0
2012,2020,6,110.0,2,12,1,14,0,0,0,5,0
2010,2018,9,112.0,1,9,2,16,1,0,0,2,0
2010,2020,5,129.0,1,10,1,16,0,1,4,9,0
2017,2018,1,87.0,1,9,2,9,1,0,0,5,0
2018,2020,8,87.0,1,8,1,8,0,0,0,5,0
2018,2019,11,1.0,1,7,1,8,0,0,8,8,1
2020,2020,7,120.0,1,10,1,6,0,0,12,8,0
2019,2019,6,59.0,1,1,1,7,0,0,27,8,0
2018,2018,9,1.0,1,3,1,8,0,0,30,6,1
2018,2018,10,74.0,1,1,1,8,0,0,27,8,0
1986,2011,10,96.0,1,5,1,40,0,0,12,8,0
2014,2020,6,91.0,1,7,1,12,0,0,0,6,0
2018,2018,3,59.0,1,1,1,8,0,0,27,8,0
2018,2019,1,105.0,1,1,1,8,0,0,7,6,0
2017,2017,7,63.0,1,1,1,9,0,0,27,8,0
2013,2019,11,111.0,1,11,2,13,1,0,12,5,0
2018,2020,9,96.0,1,4,3,8,1,0,0,4,0
2017,2019,12,99.0,1,8,1,9,0,0,13,6,0
2015,2015,6,92.0,1,10,1,11,0,0,12,8,0
2018,2018,8,86.0,1,10,2,8,1,0,7,2,0
2016,2020,5,90.0,1,7,1,10,0,0,15,6,0
2018,2018,8,1.0,1,1,1,8,0,0,11,8,1
2020,2020,9,63.0,2,1,1,6,0,0,27,8,0
2013,2016,4,1.0,1,1,1,13,0,0,3,9,1
2017,2020,10,1.0,1,26,1,9,0,0,11,9,1
2019,2019,10,106.0,1,11,1,7,0,0,12,4,0
2020,2020,4,2.0,1,8,1,6,0,0,3,8,1
2019,2019,5,38.0,1,1,1,7,0,0,10,9,0
2012,2019,5,93.0,1,1,1,14,0,0,10,2,0
2018,2018,12,87.0,1,1,1,8,0,0,10,8,0
2019,2019,12,25.0,1,1,2,7,1,0,10,9,0
2020,2020,12,105.0,1,15,1,6,0,0,12,5,0
2017,2020,3,94.0,1,12,2,9,1,0,12,5,0
2008,2020,8,107.0,1,12,1,18,0,0,12,8,0
2012,2018,3,89.0,1,10,2,14,1,0,0,5,0
2014,2017,7,1.0,1,8,1,12,0,0,8,6,1
2018,2019,1,92.0,1,8,1,8,0,0,12,8,0
2017,2019,7,1.0,1,1,1,9,0,0,3,8,1
2010,2017,8,2.0,1,4,1,16,0,0,16,8,1
2018,2018,9,1.0,1,7,1,8,0,0,8,8,1
2017,2018,11,1.0,1,1,3,9,1,0,11,9,1
2019,2019,12,1.0,1,10,2,7,1,0,16,8,1
2015,2017,4,1.0,1,8,1,11,0,0,8,6,1
2020,2020,8,3.0,1,7,1,6,0,0,2,6,1
2018,2018,12,22.0,1,8,1,8,0,0,19,9,0
1990,2020,4,174.0,1,10,1,36,0,1,12,6,0
2018,2018,2,60.0,1,1,1,8,0,0,27,8,0
2009,2018,10,97.0,1,10,1,17,0,0,13,6,0
2006,2019,12,122.0,1,9,1,20,0,1,12,6,0
2012,2018,3,91.0,1,2,1,14,0,0,10,5,0
2019,2020,1,1.0,1,4,1,7,0,0,16,6,1
2018,2019,3,2.0,1,4,1,8,0,0,16,8,1
2014,2019,7,1.0,1,1,1,12,0,0,3,9,1
2020,2020,11,84.0,1,5,2,6,1,0,12,9,0
2020,2020,1,97.0,1,12,1,6,0,0,7,9,0
2015,2017,10,127.0,1,7,1,11,0,1,12,6,0
2004,2018,3,153.0,2,6,1,22,0,1,15,6,0
2018,2018,5,158.0,1,10,1,8,0,1,0,8,0
2012,2020,7,151.0,1,10,1,14,0,1,7,6,0
2020,2020,1,1.0,1,6,1,6,0,0,30,6,1
2009,2020,10,150.0,1,9,1,17,0,1,7,6,0
2015,2017,10,1.0,1,1,1,11,0,0,16,9,1
